date,point
2023/04/06,-1.0
2023/04/09,0.0
2023/04/11,-1.0
2023/04/12,-1.0
2023/03/05,0.33
2023/03/07,-1.0
2023/03/08,-1.0
2023/03/10,-1.0
2023/03/11,-1.0
2023/03/22,0.0
2023/03/24,0.0
2023/03/27,1.0
2023/03/28,-1.0
