date,conclusion
2022-02-07,0
2022-02-17,1
2022-06-07,0
2022-06-09,1
2022-06-29,1
2022-07-06,1
2022-07-10,1
2022-07-19,0
2022-08-17,1
2022-09-06,0
2022-12-27,1
2023-02-15,1
2023-03-02,1
2023-03-07,1
2023-05-12,1
2023-05-29,1
